product_category_name,total_units_sold,total_revenue,total_orders,avg_freight_value
esporte_lazer,7586,1041789.6600000006,7586,19.65760875296594
cama_mesa_banho,9272,1066330.7300000004,9272,18.660334339948182
bebes,2796,453841.60000000015,2796,22.732979256080142
ferramentas_jardim,3449,500441.0400000004,3449,23.78467091910694
telefonia_fixa,213,37231.94,213,17.160140845070423
construcao_ferramentas_construcao,732,141926.28000000003,732,22.746598360655742
malas_acessorios,1015,161780.0,1015,28.24695566502463
papelaria,2269,257449.28999999998,2269,18.8274790656677
relogios_presentes,5542,1245564.1200000015,5542,16.938471670876925
livros_tecnicos,258,22328.729999999996,258,16.009496124031006
casa_construcao,470,82481.78,470,23.88717021276596
industria_comercio_e_negocios,231,43605.13,231,29.614155844155846
moveis_escritorio,1256,261623.09000000003,1256,40.821863057324855
artigos_de_natal,125,10334.74,125,22.039520000000003
livros_importados,49,4412.139999999999,49,12.48265306122449
tablets_impressao_imagem,77,8133.629999999999,77,15.052207792207792
moveis_quarto,91,20799.72,91,43.11318681318681
musica,37,6684.67,37,18.25108108108108
moveis_sala,412,72784.28,412,35.844660194174764
agro_industria_e_comercio,181,69144.96000000002,181,28.33580110497238
dvds_blu_ray,57,5554.07,57,19.81157894736842
moveis_colchao_e_estofado,38,5998.54,38,42.90684210526316
market_place,270,30362.030000000006,270,17.613814814814813
fraldas_higiene,26,1632.73,26,15.651538461538463
portateis_casa_forno_e_cafe,74,49469.01,74,36.56027027027027
perfumaria,3110,425950.11999999994,3110,16.09872990353698
telefonia,4131,356687.1299999986,4131,15.709774872912181
eletronicos,2527,188076.07999999984,2527,16.88707954095767
casa_conforto,375,60652.10000000002,375,19.988746666666675
brinquedos,3807,527371.7199999999,3807,19.01672445495141
livros_interesse_geral,498,51086.07000000001,498,16.62008032128514
artes,195,27082.26,195,19.22805128205128
eletrodomesticos_2,230,120554.13,230,44.72682608695652
construcao_ferramentas_seguranca,154,37376.3,154,21.090324675324673
fashion_underwear_e_moda_praia,120,10844.78,120,14.661833333333334
cine_foto,64,7716.84,64,17.901093749999998
construcao_ferramentas_jardim,184,24757.739999999994,184,23.07885869565217
la_cuisine,12,2186.67,12,24.639999999999997
fashion_roupa_infanto_juvenil,7,598.67,7,11.245714285714286
informatica_acessorios,6577,891235.7000000001,6577,18.98997719324916
automotivo,3836,627797.1600000006,3836,21.917507820646485
fashion_bolsas_e_acessorios,1833,168134.0399999998,1833,15.496661211129302
alimentos,438,32440.100000000013,438,14.461484018264835
bebidas,289,20792.440000000002,289,14.833667820069206
climatizacao,249,51048.78,249,22.602208835341365
eletroportateis,610,191979.34999999995,610,24.131622950819672
construcao_ferramentas_iluminacao,232,41448.06999999999,232,27.11211206896552
fashion_calcados,235,26509.289999999997,235,19.0963829787234
alimentos_bebidas,220,17085.869999999995,220,16.883318181818183
sinalizacao_e_seguranca,139,18794.490000000005,139,26.007697841726618
casa_conforto_2,22,970.36,22,14.240454545454543
pc_gamer,6,1051.3799999999999,6,15.57
fashion_esporte,24,2306.74,24,19.033749999999998
,1384,188778.20999999993,1384,17.707339117859735
moveis_decoracao,6290,727207.9799999996,6290,21.3727774244833
beleza_saude,8715,1347398.910000001,8715,19.19433390705676
cool_stuff,3574,680207.7800000001,3574,22.147554560716305
moveis_cozinha_area_de_servico_jantar_e_jardim,242,51559.46000000001,242,43.05396694214876
utilidades_domesticas,5764,678472.0600000003,5764,21.57114156835528
instrumentos_musicais,611,196308.78000000003,611,27.63805237315876
consoles_games,1020,161416.09999999992,1020,17.72917647058823
audio,345,54851.26000000001,345,15.701391304347824
pet_shop,1696,230651.25999999992,1696,20.833396226415104
eletrodomesticos,757,93796.86000000002,757,19.235759577278728
pcs,179,212427.97999999998,179,49.518379888268164
artes_e_artesanato,22,2101.71,22,15.890454545454547
flores,29,1389.8399999999997,29,14.720689655172414
fashion_roupa_masculina,107,10731.95,107,16.847757009345795
construcao_ferramentas_ferramentas,97,16366.720000000003,97,19.777010309278353
artigos_de_festas,39,5043.210000000001,39,19.452051282051286
portateis_cozinha_e_preparadores_de_alimentos,13,4199.370000000001,13,21.79
fashion_roupa_feminina,37,2863.5,37,13.742702702702701
cds_dvds_musicais,12,832.77,12,16.064166666666665
seguros_e_servicos,2,324.51,2,20.61
